background,objective,reference
"In that case, the measurement error is related to the variability between persons. Consequently, reliability parameters are highly dependent on the heterogeneity of the study sample, while the agreement parameters, based on measurement error, are more a pure characteristic of the measurement instrument. #CITATION_TAG he Bland-Altman method provides insight into the distribution of differences in relation to mean values.","Agreement parameters assess how close the results of the repeated measurements are, by estimating the measurement error in repeated measurements. Reliability parameters assess whether study objects, often persons, can be distinguished from each other, despite measurement errors.","['But if the aim is to measure change in health status, which is often the case in clinical practice, parameters of agreement are preferred.']"
"Decision-making animals can use slow-but-accurate strategies, such as making multiple comparisons, or opt for simpler, faster strategies to find a 'good enough' option. Social animals make collective decisions about many group behaviours including foraging and migration. The key to the collective choice lies with individual behaviour. We present a case study of a collective decision-making process (house-hunting ants, Temnothorax albipennis), in which a previously proposed decision strategy involved both quality-dependent hesitancy and direct comparisons of nests by scouts. This highlights the need to carefully design experiments to detect individual comparison. This parsimonious mechanism could promote collective rationality in group decision-making. Many individual decisions are informed by direct comparison of the alternatives. In collective decisions, however, only certain group members may have the opportunity to compare options. How do they do this? Switching by ants that had the opportunity to compare nests had little effect on nest choice. Colony-level comparison and choice can emerge, without direct comparison by individuals. Although lone T. rugatulus ant workers are capable of comparing the attributes of nest-sites which are very close together [25], the evidence for individual ants making direct comparisons between nests during colony emigration is weak [#CITATION_TAG], and furthermore, ant colonies are able to choose a distant good nest over a nearby poor nest, when recruitment latency differences would be expected to be cancelled out by travel time (Fig. 1a) [26, 27].","We used radio-frequency identification-tagged ants to monitor individual behaviour. When ants switched quickly between the two nests, colonies chose the good nest. Previously proposed mechanisms, recruitment latency and nest comparison, can be explained as side effects of this simple rule.",['We suggest a new mechanism of collective nest choice: individuals respond to nest quality by the decision either to commit or to seek alternatives.']
"Decision-making animals can use slow-but-accurate strategies, such as making multiple comparisons, or opt for simpler, faster strategies to find a 'good enough' option. Social animals make collective decisions about many group behaviours including foraging and migration. The key to the collective choice lies with individual behaviour. We present a case study of a collective decision-making process (house-hunting ants, Temnothorax albipennis), in which a previously proposed decision strategy involved both quality-dependent hesitancy and direct comparisons of nests by scouts. This highlights the need to carefully design experiments to detect individual comparison. This parsimonious mechanism could promote collective rationality in group decision-making. When its nest is damaged, a colony of the ant Leptothorax albipennis skillfully emigrates to the best available new site. When the number of ants at a site reaches a 'quorum threshold', the ants switch to rapid transport behaviour to carry the brood, queen and remaining nest-mates to the new nest [#CITATION_TAG].","At first, they summon fellow recruiters via tandem runs, in which a single follower is physically led all the way to the new site. They later switch to recruiting the passive majority of the colony via transports, in which nestmates are simply carried to the site. After this switch, tandem runs continue sporadically but now run in the opposite direction, leading recruiters back to the old nest. The recruitment switch is triggered by population increase at the new site, such that ants lead tandem runs when the site is relatively empty, but change to transport once a quorum of nestmates is present. A model shows that the quorum requirement can help a colony choose the best available site, even when few ants have the opportunity to compare sites directly, because recruiters to a given site launch the rapid transport of the bulk of the colony only if enough active ants have been ""convinced"" of the worth of the site.","['We investigated how this ability emerges from the behaviors used by ants to recruit nestmates to potential homes.', 'This exemplifies how insect societies can achieve adaptive colony-level behaviors from the decentralized interactions of relatively poorly informed insects, each combining her own limited direct information with indirect cues about the experience of her nestmates.']"
"Decision-making animals can use slow-but-accurate strategies, such as making multiple comparisons, or opt for simpler, faster strategies to find a 'good enough' option. Social animals make collective decisions about many group behaviours including foraging and migration. The key to the collective choice lies with individual behaviour. We present a case study of a collective decision-making process (house-hunting ants, Temnothorax albipennis), in which a previously proposed decision strategy involved both quality-dependent hesitancy and direct comparisons of nests by scouts. This highlights the need to carefully design experiments to detect individual comparison. This parsimonious mechanism could promote collective rationality in group decision-making. Prior studies of this decision-making process indicate that swarms attempt to use the best-of-N decision rule: sample some number (N) of alternatives and then select the best one. Although a honey bee swarm has bounded rationality (e.g., it lacks complete knowledge of the possible nesting sites), through its capacity for parallel processing it can choose a nest site without greatly reducing either the breadth or depth of its consideration of the alternative sites. In contrast, bees use a graded process, whereby scouts initially discovering a new nest-site almost always recruit [41], but the duration and rate of the recruiting waggle-dances are dependent on nest quality [#CITATION_TAG].","We tested how well swarms implement this decision rule by presenting them with an array of five nest boxes, only one of which was a high-quality (desirable) nest site; the other four were medium-quality (acceptable) sites. A dancing bee tunes her dance strength by adjusting the number of waggle-runs/dance, and she adjusts the number of waggle-runs/dance by changing both the duration and the rate of her waggle-run production. Differences in return-phase duration underlie the impression that dances differ in liveliness.",['This study views a honey bee swarm as a supraorganismal entity which has been shaped by natural selection to be skilled at choosing a future home site.']
"Decision-making animals can use slow-but-accurate strategies, such as making multiple comparisons, or opt for simpler, faster strategies to find a 'good enough' option. Social animals make collective decisions about many group behaviours including foraging and migration. The key to the collective choice lies with individual behaviour. We present a case study of a collective decision-making process (house-hunting ants, Temnothorax albipennis), in which a previously proposed decision strategy involved both quality-dependent hesitancy and direct comparisons of nests by scouts. This highlights the need to carefully design experiments to detect individual comparison. This parsimonious mechanism could promote collective rationality in group decision-making. There was rapid decay in the dance response; the number of dance circuits produced by a bee after visiting a site decreased linearly over sequential visits, and eventually each bee ceased visiting her site. This decay, or ;leakage', in the accumulation of bees at a site improves a swarm's decision-making ability by helping a swarm avoid making fast-decision errors. In contrast, bees use a graded process, whereby scouts initially discovering a new nest-site almost always recruit [#CITATION_TAG], but the duration and rate of the recruiting waggle-dances are dependent on nest quality [42].","We presented honeybee swarms with a two-alternative choice between a high-value site and a medium-value site and recorded the behavior of individually identifiable scout bees as they reported on these two alternatives. The first bee to find a site had a high probability of reporting the site with a waggle dance, regardless of its value.",['This study investigates the first stage of the decision-making process of a honeybee swarm as it chooses a nest site: how a scout bee codes the value of a potential nest site in the waggle dances she produces to represent this site.']
"The effectiveness of alcohol brief intervention (ABI) has been established by a succession of meta-analyses but, because the effects of ABI are small, null findings from randomized controlled trials are often reported and can sometimes lead to skepticism regarding the benefits of ABI in routine practice. This article first explains why null findings are likely to occur under null hypothesis significance testing (NHST) due to the phenomenon known as ""the dance of the p-values."" From the standpoint of scientific progress, the chief problem about null findings under the conventional NHST approach is that it is not possible to distinguish ""evidence of absence"" from ""absence of evidence."" At the time of writing, only the results for the PHC trial have been published (#CITATION_TAG) and the other two trials will not be covered here.","The hypothesis was that more intensive intervention would result in a greater reduction in hazardous or harmful drinking.Pragmatic cluster randomised controlled trial.Primary care practices in the north east and south east of England and in London.3562 patients aged 18 or more routinely presenting in primary care, of whom 2991 (84.0%) were eligible to enter the trial: 900 (30.1%) screened positive for hazardous or harmful drinking and 756 (84.0%) received a brief intervention. The sample was predominantly male (62%) and white (92%), and 34% were current smokers.Practices were randomised to three interventions, each of which built on the previous one: a patient information leaflet control group, five minutes of structured brief advice, and 20 minutes of brief lifestyle counselling.",['To evaluate the effectiveness of different brief intervention strategies at reducing hazardous or harmful drinking in primary care.']
"The effectiveness of alcohol brief intervention (ABI) has been established by a succession of meta-analyses but, because the effects of ABI are small, null findings from randomized controlled trials are often reported and can sometimes lead to skepticism regarding the benefits of ABI in routine practice. This article first explains why null findings are likely to occur under null hypothesis significance testing (NHST) due to the phenomenon known as ""the dance of the p-values."" From the standpoint of scientific progress, the chief problem about null findings under the conventional NHST approach is that it is not possible to distinguish ""evidence of absence"" from ""absence of evidence."" Reactivity to assessment has attracted recent attention in the brief alcohol intervention literature. In a review of such trials, it was calculated that control group participants reduce their drinking by approximately 20% (#CITATION_TAG, 36).","Primary studies were identified from existing reviews published in English language, peer-reviewed journals between 1995 and 2005. Change in alcohol consumption and selected study-level characteristics for each primary study were extracted. Consumption change data were pooled in random effects models and meta-regression was used to explore predictors of change. Extreme heterogeneity was identified and the extent of observed reduction in consumption over time was greater in studies undertaken in Anglophone countries, with single gender study participants, and without special targeting by age. Heterogeneity was reduced but was still substantial in a sub-set of 15 general population studies undertaken in English language countries.",['This systematic review sought to examine the nature of change in alcohol consumption over time in control groups in brief intervention studies.']
"The effectiveness of alcohol brief intervention (ABI) has been established by a succession of meta-analyses but, because the effects of ABI are small, null findings from randomized controlled trials are often reported and can sometimes lead to skepticism regarding the benefits of ABI in routine practice. This article first explains why null findings are likely to occur under null hypothesis significance testing (NHST) due to the phenomenon known as ""the dance of the p-values."" From the standpoint of scientific progress, the chief problem about null findings under the conventional NHST approach is that it is not possible to distinguish ""evidence of absence"" from ""absence of evidence."" Practices of data analysis in psychology and related disciplines are changing. This is evident in the longstanding controversy about statistical tests in the behavioral sciences and the increasing number of journals requiring effect size information. (NHST as taught in textbooks today is a hybrid of the Fisher and the Neyman-Pearson approaches and no distinctions between these two approaches will be discussed here.) Opponents of NHST would no doubt attribute the misunderstandings of null findings that we will shortly consider to basic flaws in the logic of NHST (#CITATION_TAG, 18).",Readers will learn how to measure effect size on continuous or dichotomous outcomes in comparative studies with independent or dependent samples. They will also learn how to calculate and correctly interpret confidence intervals for effect sizes. Numerous research examples from a wide range of areas illustrate the application of these principles and how to estimate substantive significance instead of just statistical significance.,"['Written in a clear and accessible style, the book is intended for applied researchers and students who may not have strong quantitative backgrounds.']"
"The effectiveness of alcohol brief intervention (ABI) has been established by a succession of meta-analyses but, because the effects of ABI are small, null findings from randomized controlled trials are often reported and can sometimes lead to skepticism regarding the benefits of ABI in routine practice. This article first explains why null findings are likely to occur under null hypothesis significance testing (NHST) due to the phenomenon known as ""the dance of the p-values."" From the standpoint of scientific progress, the chief problem about null findings under the conventional NHST approach is that it is not possible to distinguish ""evidence of absence"" from ""absence of evidence."" In surveys of health professionals' attitudes to this work, one of the most commonly encountered obstacles is ""lack of time"" or ""too busy"" (#CITATION_TAG, 33).","Qualitative focus group discussion method study applying the deductive framework approach. Six focus groups involving 18 general practitioners and 19 nurses were recruited from primary health care of the City of Tampere, Finland. Possible obstacles are: (1) confusion regarding the content of early-phase heavy drinking, (2) lack of self-efficacy among primary health care professionals, (3) sense of lacking time needed for carrying out brief intervention, (4) not having simple guidelines for brief intervention, (5) sense of difficulty in identifying of early-phase heavy drinkers, and (6) uncertainty about the justification for initiating discussion on alcohol issues with patients.","['The objective of this study was to identify possible obstacles to carrying out competent early identification and brief intervention (EIBI) of heavy drinkers in primary health care.', 'The main actions to be taken to promote brief intervention are to educate professionals about the content of early-phase heavy drinking and to produce directing, but not excessively demanding guidelines for carrying out EIBI.']"
"The effectiveness of alcohol brief intervention (ABI) has been established by a succession of meta-analyses but, because the effects of ABI are small, null findings from randomized controlled trials are often reported and can sometimes lead to skepticism regarding the benefits of ABI in routine practice. This article first explains why null findings are likely to occur under null hypothesis significance testing (NHST) due to the phenomenon known as ""the dance of the p-values."" From the standpoint of scientific progress, the chief problem about null findings under the conventional NHST approach is that it is not possible to distinguish ""evidence of absence"" from ""absence of evidence."" The possible effects of regression to the mean on control group participants in brief intervention trials were studied empirically by McCambridge and colleagues (#CITATION_TAG).","METHODS: 967 participants in a cohort study of alcohol consumption in New Zealand provided data at baseline and again six months later. We use graphical methods and apply thresholds of 8, 12, 16 and 20 in AUDIT scores to explore RTM. When a threshold score of 8 was used to select a subgroup, the observed mean change was approximately half of that observed without a threshold.",['We sought to test the hypothesis that the statistical artefact regression to the mean (RTM) explains part of the reduction in such studies.']
