,refs
0,
1,
2,
3,To obtain in-depth information about the views of patients and physicians on suffering in patients who requested euthanasia in whom the request was not granted or granted but not performed.
4,
5,
6,"This article reviews select recommendations of the updated Guidance, highlighting 3 key themes that run throughout its chapters: evidence-based practice and assessment, human rights standards, and a pragmatic orientation to safe and accessible abortion care."
7,"A major theme was that 'slow euthanasia' may be more psychologically acceptable to doctors than active voluntary euthanasia by bolus injection, partly because the former would usually only result in a small loss of 'time' for patients already very close to death, but also because of the desirable ambiguities surrounding causation and intention when an infusion of analgesics and sedatives is used."
8,"This paper draws brief attention to a few possible effects on reaction rates, flame extinction, flamelet approximation, conditional moment closure methods, and so forth, besides commenting on possible effects on the resolution requirements of direct numerical simulations of turbulence."
9,
10,"This paper assesses the contribution of advance directives to decision-making in the care of people with dementia, with a special focus on non-treatment directives and directives for euthanasia.The relevant problems from the ethical debate on advance directives in cases of dementia are summarized and we discuss how these relate to what is known from empirical research on the validity and effectiveness of advance directives in the clinical practice of dementia care.The ethical debate focuses essentially on how to respond to the current wishes of a patient with dementia if these contradict the patient's wishes contained in an advance directive."
11,As LEIF serves the Flemish speaking community (i.e.
12,"The objective of the Task Force is to assess the degree of palliative care development in the European Region as defined by the World Health Organization (WHO). The Task Force is a collaboration between EAPC, the International Observatory on End of Life Care, Help the Hospices and the International Association for Hospice and Palliative Care. The work of the Task Force covers the entire WHO European Region of 52 countries. In this article we present a comparative study on the development of palliative care in Europe, drawing on all four elements of the study."
13,To Study the religious and ideological views and practice of Palliative Care physician towards Euthanasia.An anonymous self administered questionnaire approved by Flemish Palliative Care Federation and its ethics steering group was sent to all physicians(n-147) working in Flemish Palliative Care.
14,
15,
16,Previous research tends toward basic designs reporting on attitudes in the context of just one or two potentially influencing factors; we aimed to test the comparative importance of a larger range of variables in a sample of nursing trainees and non-nursing controls.
17,
18,
19,
20,
21,This indicates a way for deriving conventional spacetime quantities from a background-independent theory.
22,
23,
24,
25,We hereby discuss the relevance that justifies the international recognition of these subprojects in the current glycomics age associated with the beneficial outcomes that these glycans may offer in drug development.
26,The objective of this study was to determine changes in the expression and function of aggrecanases after disruption of chondrocyte CD44-HA interactions.
27,
28,
29,This prompted us to examine enzymatic properties and primary structures of lionfish hyaluronidases.
30,Spinfoam theories are hoped to provide the dynamics of non-perturbative loop quantum gravity.
31,
32,
33,"In this paper, we investigated interactions of the acidic oligosaccharide sugar chain (AOSC), derived from brown algae Echlonia kurome OKAM, with amyloid beta protein (Abeta)."
34,
35,
36,"In this review, we aim to explore the potential of microalgal biodiversity and ecology for biotechnological use."
